age,duration,amount,savings,employment,credit_history,purpose,housing,existing_credits,target
43,48,13053,moderate,1-4yr,delayed,other,rent,3,0
51,36,6156,little,4-7yr,existing_paid,furniture,rent,1,0
71,36,10677,quite_rich,1-4yr,existing_paid,furniture,own,2,0
71,60,9484,moderate,4-7yr,existing_paid,education,own,2,1
20,6,14100,moderate,<1yr,existing_paid,business,own,1,1
67,6,4759,quite_rich,4-7yr,critical,car,own,3,1
29,24,8786,quite_rich,1-4yr,critical,car,rent,2,0
18,48,6401,none,>7yr,critical,education,own,2,0
71,36,9825,little,>7yr,critical,furniture,rent,1,0
61,12,5417,rich,>7yr,existing_paid,other,rent,1,1
22,18,8929,none,4-7yr,existing_paid,business,own,2,1
47,6,11638,moderate,4-7yr,delayed,education,rent,2,1
47,18,3030,rich,1-4yr,critical,car,own,1,1
74,18,2460,none,1-4yr,existing_paid,repairs,own,1,1
34,24,7545,moderate,1-4yr,existing_paid,furniture,own,1,1
65,36,1548,little,4-7yr,existing_paid,repairs,own,4,1
64,6,6272,moderate,>7yr,existing_paid,other,own,3,1
40,18,3029,none,<1yr,existing_paid,education,own,4,1
32,6,3464,none,>7yr,existing_paid,car,rent,1,1
54,12,7637,moderate,4-7yr,paid,business,rent,4,1
38,24,1463,quite_rich,4-7yr,existing_paid,repairs,rent,1,1
31,12,1036,quite_rich,<1yr,critical,business,own,2,1
19,6,14391,moderate,<1yr,existing_paid,other,rent,3,0
28,60,7840,none,4-7yr,delayed,car,free,1,0
68,6,14767,moderate,4-7yr,delayed,repairs,rent,2,0
56,36,7679,little,1-4yr,critical,other,rent,1,0
55,18,8467,rich,4-7yr,existing_paid,business,rent,1,1
51,18,12915,quite_rich,>7yr,critical,business,own,2,1
55,12,12371,moderate,>7yr,existing_paid,repairs,rent,2,1
67,24,12879,rich,>7yr,critical,car,own,3,1
51,60,12416,none,1-4yr,critical,business,rent,2,0
35,48,9234,moderate,1-4yr,existing_paid,education,own,2,1
47,18,1345,little,4-7yr,paid,other,own,1,1
32,36,12295,rich,1-4yr,existing_paid,repairs,own,1,1
44,12,6277,little,<1yr,existing_paid,furniture,rent,4,1
68,12,3536,moderate,1-4yr,existing_paid,furniture,own,1,1
51,48,6447,quite_rich,1-4yr,existing_paid,car,own,2,1
69,36,2994,none,1-4yr,existing_paid,education,rent,1,0
74,24,13177,little,1-4yr,no_credits,business,rent,2,0
55,36,3219,quite_rich,1-4yr,existing_paid,furniture,own,2,1
50,24,2384,little,unemployed,existing_paid,car,own,1,1
41,36,12830,little,4-7yr,paid,other,rent,1,0
32,36,4849,little,4-7yr,existing_paid,education,rent,2,0
47,6,11893,none,4-7yr,existing_paid,education,own,1,1
72,12,5679,quite_rich,<1yr,existing_paid,car,free,1,0
59,36,11402,moderate,1-4yr,critical,car,own,2,0
68,48,7110,none,4-7yr,existing_paid,business,rent,1,0
34,36,6930,little,4-7yr,existing_paid,car,free,3,0
22,18,7654,little,1-4yr,existing_paid,business,own,2,0
46,12,14328,none,1-4yr,critical,business,own,1,0
21,18,10645,little,>7yr,critical,repairs,rent,2,0
27,12,6988,little,1-4yr,critical,education,free,2,0
73,18,5237,little,1-4yr,delayed,other,own,1,0
34,36,7025,moderate,4-7yr,existing_paid,education,free,2,1
27,36,4350,little,1-4yr,existing_paid,education,rent,1,0
34,6,1189,moderate,1-4yr,paid,repairs,own,1,1
37,48,14064,moderate,1-4yr,critical,business,rent,1,0
41,18,10642,moderate,4-7yr,delayed,business,free,1,1
22,24,5675,moderate,1-4yr,critical,car,rent,1,0
51,6,14274,moderate,<1yr,existing_paid,repairs,own,2,1
23,18,9148,quite_rich,1-4yr,critical,car,own,2,0
